Name,Score
AMD Ryzen 7 7736U,21696
Intel Xeon W-11955M @ 2.60GHz,21536
Intel Core i7-12650H,21486
Intel Core i5-14401EF,21483
AMD Ryzen 7 PRO 250,21465
Intel Core Ultra 7 365,21371
Qualcomm Snapdragon X Plus X1P-64-100,21344
AMD Ryzen 5 PRO 7640U,21287
AMD Ryzen 7 6800HS Creator Edition,21276
AMD Ryzen 5 PRO 8640HS,21266
AMD Ryzen 9 5900HS,21115
Intel Core i5-13500H,21018
Intel Core Ultra 7 355,20941
AMD Ryzen 9 6900HS Creator Edition,20920
AMD Ryzen 7 6800U,20740
Intel Core i5-12600H,20611
AMD Ryzen 7 5800H,20568
Intel Core Ultra 5 325,20554
AMD Ryzen 7 PRO 6850U,20489
AMD Ryzen 5 7640U,20472
Intel Core i9-11950H @ 2.60GHz,20450
AMD Ryzen 7 7735U,20414
Intel Core Ultra 5 125H,20388
Intel Core i5-12500H,20376
AMD Ryzen 5 7545U,20277
AMD Ryzen 9 5980HS,20257
AMD Ryzen AI 5 PRO 435,20175
Intel Core i7-1280P,20098
AMD Ryzen 7 PRO 6860Z,20084
AMD Ryzen 5 8640U,19961
Intel Core Ultra 9 288V,19900
AMD Ryzen 5 8640HS,19897
Intel Core i9-11900H @ 2.50GHz,19858
Intel Core i7-11850H @ 2.50GHz,19750
Intel Core i7-1370P,19699
AMD Ryzen AI 7 445,19698
Intel Core i7-11800H @ 2.30GHz,19685
AMD Ryzen AI 5 340,19682
AMD Ryzen 5 230,19679
AMD Ryzen 7 7445H,19643
Intel Core Ultra 7 256V,19572
Intel Core i7-12700TE,19543
AMD Ryzen 7 PRO 5800H,19461
Intel Core Ultra 7 266V,19450
AMD Ryzen 7 5800HS,19429
AMD Ryzen 5 7640S,19339
AMD Ryzen 5 PRO 230,19232
AMD Ryzen AI 5 PRO 340,19194
Apple M3 8 Core,19076
Intel Core Ultra 7 258V,18930
AMD Ryzen 9 4900H,18818
AMD Ryzen 9 4900HS,18754
AMD Ryzen 5 PRO 7545U,18744
Intel Core i5-1250P,18735
AMD Ryzen 5 PRO 220,18730
AMD Ryzen 7 7445HS,18724
Intel Core i5-1350P,18667
AMD Ryzen 5 7540U,18606
AMD Ryzen 5 220,18584
AMD Ryzen 5 PRO 6650H,18536
AMD Ryzen 7 Pro 7735U,18488
Intel Core i5-1340P,18438
Intel Core i7-1360P,18402
AMD Ryzen AI 5 435,18359
AMD Ryzen 5 8540U,18353
Intel Core 5 210H,18345
AMD Ryzen 5 6600H,18258
Intel Core Ultra 5 228V,18247
AMD Ryzen 5 PRO 8540U,18226
AMD Ryzen 9 5900HS Creator Edition,18169
AMD Ryzen 7 PRO 7730U,18142
AMD Ryzen 5 PRO 215,18084
Intel Core Ultra 5 226V,18049
AMD Ryzen 7 5800U,18024
Snapdragon X Plus - X1P42100 - Qualcomm Oryon,17964
AMD Ryzen 7 4800H,17939
AMD Ryzen 7 4800HS,17926
AMD Ryzen 7 5825U,17905
Intel Core Ultra 7 255U,17900
Intel Core i5-12450HX,17803
AMD Ryzen 5 150,17788
Intel Core Ultra 5 225U,17779
AMD Ryzen 5 6600HS Creator Edition,17674
AMD Ryzen 5 7535HS,17670
Intel Core Ultra 7 265U,17638
AMD Ryzen 7 5800HS Creator Edition,17636
Intel Core Ultra 5 235U,17503
AMD Ryzen 5 PRO 7540U,17485
AMD Ryzen 7 4980U Microsoft Surface Edition,17469
AMD Ryzen 7 7730U,17366
Intel Xeon W-11855M @ 3.20GHz,17312
Apple M1 Pro 8 Core 3200 MHz,17183
AMD Ryzen 7 4850U Mobile,17110
Intel Core i5-13420H,16978
AMD Ryzen 5 6600U,16954
Intel Core Ultra 5 125U,16847
AMD Ryzen 5 7535U,16792
Intel Core Ultra 7 165U,16748
Intel Core Ultra 5 135U,16741
AMD Ryzen 7 PRO 5875U,16672
AMD Ryzen 7 PRO 5850U,16662
AMD Ryzen 7 Extreme Edition,16562
Intel Core i7-1260P,16537
AMD Ryzen 5 5600H,16429
AMD Ryzen 7 4800U,16397
Snapdragon X - X126100 - Qualcomm Oryon,16324
Intel Core i7-1270P,16307
AMD Ryzen 9 4950U Mobile,16290
Intel Core Ultra 7 155U,16172
Intel Core i7-10700E @ 2.90GHz,16172
AMD Ryzen 5 PRO 6650U,16092
Intel Core i5-12450H,15979
AMD Ryzen 5 Pro 7535U,15925
Intel Core i5-1240P,15854
Intel Core i3-1220P,15680
Apple M2 8 Core 3500 MHz,15646
AMD Ryzen 5 7430U,15538
Intel Core i5-11500H @ 2.90GHz,15514
Intel Core i7-11600H @ 2.90GHz,15506
Intel Core i5-12500TE,15454
Intel Core Ultra 5 322,15441
Intel Xeon W-10885M @ 2.40GHz,15411
AMD Ryzen 7 5700U,15410
Intel Core Ultra 5 332,15337
AMD Ryzen 5 7533HS,15248
Intel Core i5-11260H @ 2.60GHz,15245
AMD Ryzen 5 5560U,15206
Intel Core i5-11400H @ 2.70GHz,15178
AMD Ryzen 5 7530U,15129
Intel Core i9-10980HK @ 2.40GHz,15113
Intel Xeon E-2286M @ 2.40GHz,15093
AMD Ryzen 5 5600U,14967
Intel Core 7 150U,14796
AMD Ryzen 5 PRO 4400GE,14795
AMD Ryzen 7 PRO 4750U,14648
AMD Ryzen 5 5625U,14526
Intel Core i7-10875H @ 2.30GHz,14427
Intel Core 5 220U,14276
Intel Core i9-10885H @ 2.40GHz,14274
AMD Ryzen 5 4600HS,14251
Intel Core i9-10880H @ 2.30GHz,14240
AMD Ryzen 9 5900H,14172
Apple M1 8 Core 3200 MHz,14129
AMD Ryzen 5 4600H,14120
AMD Ryzen 5 PRO 7530U,14104
AMD Ryzen 5 PRO 5650U,14082
AMD Ryzen 5 7535H,14065
Intel Core i7-10870H @ 2.20GHz,13979
AMD Ryzen 5 PRO 5675U,13975
Intel Core i5-1345U,13968
Intel Core i7-1355U,13959
Intel Core i5-1335U,13931
Intel Core i9-9980HK @ 2.40GHz,13931
Intel Core i5-1240U,13889
AMD Ryzen AI 5 330 with Radeon 890M,13880
Intel Core 7 250U,13806
Intel Core i7-1365U,13700
AMD Ryzen 3 210,13531
Intel Core i9-9880H @ 2.30GHz,13476
AMD Ryzen AI 5 430,13471
Intel Core i7-10700TE @ 2.00GHz,13430
Intel Core i7-1260U,13268
Intel Core i7-1265U,13154
Intel Core Ultra 5 134U,13127
Intel Core i5-1334U,13126
AMD Ryzen 7 4700U,13125
AMD Ryzen 3 7440U,13100
AMD Ryzen AI 5 330,13007
AMD Ryzen 5 4600U,12934
Intel Core i7-1255U,12915
Intel Core i5-1245U,12854
Intel CoreTM Ultra 5 115U,12771
AMD Ryzen 5 5500U,12660
Intel Core 3 100U,12614
Intel Core i5-1235U,12578
Intel Core Ultra 7 164U,12514
AMD Ryzen 3 7335U,12437
AMD Ryzen 5 7235HS,12370
AMD Ryzen 3 PRO 7330U,12296
Intel Xeon W-10855M @ 2.80GHz,12217
AMD Ryzen 3 PRO 7335U,12148
AMD Ryzen 3 PRO 210,12121
AMD Ryzen 5 PRO 4500U,12117
Apple A18 Pro (MacBook Neo),12084
AMD Ryzen 5 PRO 4650U,12025
AMD Ryzen 3 8440U,11957
Snapdragon 8cx Gen 3 @ 3.0 GHz,11840
Microsoft SQ3 @ 3.0 GHz,11811
Intel Core i7-8700B @ 3.20GHz,11774
Intel Xeon E-2276M @ 2.80GHz,11644
Intel Core i7-11375H @ 3.30GHz,11628
Intel Core i7-11370H @ 3.30GHz,11533
Intel Core i7-10850H @ 2.70GHz,11531
Intel Core Ultra 5 115U,11529
Intel Core i7-10750H @ 2.60GHz,11462
AMD Ryzen 3 5425U,11385
AMD Ryzen 5 5500H,11350
Intel Core i7-1250U,11248
Intel Xeon E-2186M @ 2.90GHz,11195
Intel Core i3-1315U,11135
AMD Ryzen 3 PRO 5475U,11077
AMD Ryzen 3 5400U,10967
Intel Core i5-10500H @ 2.50GHz,10951
AMD Ryzen 3 PRO 4200GE,10930
Intel Core i5-1230U,10925
Intel Core i7-9850H @ 2.60GHz,10835
Intel Core i5-11320H @ 3.20GHz,10812
Intel Xeon E-2176M @ 2.70GHz,10807
Intel Core i5-11300H @ 3.10GHz,10755
AMD Ryzen 3 PRO 5450U,10678
AMD Ryzen 5 4500U,10668
Intel Core i7-9750H @ 2.60GHz,10583
Intel Core i7-1195G7 @ 2.90GHz,10399
AMD Ryzen 3 7330U,10366
