Name,Score
Intel Core i7-4600M @ 2.90GHz,3212
Intel Core i5-4330M @ 2.80GHz,3210
Intel Core i5-6300U @ 2.40GHz,3201
Intel Core i5-6260U @ 1.80GHz,3183
Intel Core i3-4350T @ 3.10GHz,3168
Intel Core i7-5557U @ 3.10GHz,3154
AMD Ryzen 3 3250C,3153
AMD Ryzen Embedded R1305G,3139
Intel Core i3-6167U @ 2.70GHz,3128
Intel Core i5-6360U @ 2.00GHz,3128
Intel Core i5-6198DU @ 2.30GHz,3110
Intel Core i3-10110Y @ 1.00GHz,3106
Intel Core i5-4210H @ 2.90GHz,3087
Intel Core i5-5287U @ 2.90GHz,3077
Intel Core i7-4578U @ 3.00GHz,3058
AMD A10-9630P,3052
Intel Core i5-4310M @ 2.70GHz,3039
Intel Core i3-7130U @ 2.70GHz,3038
AMD Athlon Silver 7120U,3038
Intel Core i3-6100H @ 2.70GHz,3017
ARM Cortex-A78 4 Core 2000 MHz,3016
AMD A12-9730P,3005
Intel Core i7-5650U @ 2.20GHz,3004
AMD Embedded R-Series RX-421BD,3000
Intel Core i7-5600U @ 2.60GHz,2996
AMD Athlon Silver 3050e,2991
Intel Core i5-6200U @ 2.30GHz,2990
Intel Core i5-4308U @ 2.80GHz,2990
Intel Core i7-3540M @ 3.00GHz,2989
Intel Core i7-4558U @ 2.80GHz,2971
Intel Core i5-4300M @ 2.60GHz,2964
Intel Core i5-3380M @ 2.90GHz,2954
AMD Athlon Silver 3050U,2944
AMD Athlon Gold 3150C,2917
AMD A10-8780P,2907
Intel Core i5-4210M @ 2.60GHz,2907
Intel Core i5-3360M @ 2.80GHz,2887
AMD Athlon Silver 3050C,2879
AMD FX-7600P APU,2856
Intel Core i7-3520M @ 2.90GHz,2852
ARM Cortex-A78 8 Core,2845
Intel Core i5-5257U @ 2.70GHz,2831
Intel Core i5-4278U @ 2.60GHz,2827
AMD FX-8800P,2814
Intel Core i5-4200M @ 2.50GHz,2809
Intel Core i7-5500U @ 2.40GHz,2803
Intel Core i3-6157U @ 2.40GHz,2789
Intel Core i7-5550U @ 2.00GHz,2780
AMD Athlon PRO 3045B,2770
Intel Core m3-8100Y @ 1.10GHz,2754
Intel Core i5-8210Y @ 1.60GHz,2723
Intel Core i3-7100U @ 2.40GHz,2718
AMD A6-9400,2717
Intel Core i7-4600U @ 2.10GHz,2711
AMD PRO A12-9800B,2705
Intel Core i5-5300U @ 2.30GHz,2702
Intel Core m3-7Y32 @ 1.10GHz,2698
Intel Core i5-3610ME @ 2.70GHz,2694
Intel Core i5-4402E @ 1.60GHz,2681
Intel Core i5-3340M @ 2.70GHz,2679
Intel Core i3-4110M @ 2.60GHz,2678
AMD RX-427BB,2673
Intel Core i5-3320M @ 2.60GHz,2660
Intel Core i5-4288U @ 2.60GHz,2648
Intel Core i7-4510U @ 2.00GHz,2638
AMD A12-9720P,2637
Intel Core i7-3687U @ 2.10GHz,2631
AMD 3015e,2627
AMD PRO A12-8830B,2626
Intel Core i3-6100U @ 2.30GHz,2623
Snapdragon 835,2610
Intel Core i5-4258U @ 2.40GHz,2603
Intel Core i3-7102E @ 2.10GHz,2599
Intel Core i3-5157U @ 2.50GHz,2592
Intel Pentium Silver N5000 @ 1.10GHz,2589
Intel Core i5-5350U @ 1.80GHz,2588
AMD PRO A12-8800B,2584
Intel Core i5-7Y54 @ 1.20GHz,2583
Intel Core i3-7020U @ 2.30GHz,2570
Intel Core i5-3230M @ 2.60GHz,2569
AMD FX-7600P,2557
Intel Celeron 7305,2553
Intel Core i5-7Y57 @ 1.20GHz,2549
AMD A10-9620P,2540
Intel Core i7-7Y75 @ 1.30GHz,2537
Intel Pentium Silver N5030 @ 1.10GHz,2531
AMD PRO A10-9700B,2530
Intel Core i5-4310U @ 2.00GHz,2529
Intel Core i3-4100M @ 2.50GHz,2521
Intel Core i5-5200U @ 2.20GHz,2501
Intel Core i5-4300U @ 1.90GHz,2488
Intel Core i7-4500U @ 1.80GHz,2487
AMD FX-9800P,2485
Intel Core i7-4560U @ 1.60GHz,2473
Intel Core m3-7Y30 @ 1.00GHz,2465
Intel Core i5-3210M @ 2.50GHz,2465
AMD A8-8600P,2464
Intel Core i7-2640M @ 2.80GHz,2464
Intel Core i7-3667U @ 2.00GHz,2458
Intel Core i7-4650U @ 1.70GHz,2458
Intel Celeron N4100 @ 1.10GHz,2454
Intel Celeron N4120 @ 1.10GHz,2451
Intel Core i5-5250U @ 1.60GHz,2447
Intel Core i7-8500Y @ 1.50GHz,2443
Intel Core i7-2620M @ 2.70GHz,2428
AMD A12-9700P,2426
Intel Core i5-4350U @ 1.40GHz,2425
Intel Core i5-2560M @ 2.70GHz,2397
AMD 3020e,2396
Intel Core i7-3517UE @ 1.70GHz,2384
Intel Atom T5700 @ 1.70GHz,2363
Intel Pentium 6405U @ 2.40GHz,2355
Intel Core i3-6102E @ 1.90GHz,2349
Intel Core i7-3537U @ 2.00GHz,2349
Intel Core m5-6Y57 @ 1.10GHz,2346
Intel Core m7-6Y75 @ 1.20GHz,2346
Intel Core i5-2540M @ 2.60GHz,2344
AMD A10-9600P,2326
Intel Atom C2758 @ 2.40GHz,2317
Intel Core i5-4210U @ 1.70GHz,2312
Intel Core i7-4550U @ 1.50GHz,2307
Intel Core i5-4260U @ 1.40GHz,2307
Intel Core m5-6Y54 @ 1.10GHz,2279
Intel Core i3-6006U @ 2.00GHz,2276
Intel Core i7-940XM @ 2.13GHz,2269
Intel Pentium 4415U @ 2.30GHz,2255
Intel Pentium 4417U @ 2.30GHz,2252
AMD PRO A10-8730B,2251
Intel Core i5-3427U @ 1.80GHz,2251
AMD A10-8700P,2246
Intel Core i5-8200Y @ 1.30GHz,2243
Intel Core i5-2520M @ 2.50GHz,2241
Intel Pentium 5405U @ 2.30GHz,2238
Intel Core i3-5020U @ 2.20GHz,2221
AMD PRO A8-9600B,2204
AMD PRO A8-8600B,2202
Intel Core i7-3555LE @ 2.50GHz,2195
Intel Pentium G4400TE @ 2.40GHz,2190
Intel Core i5-4200U @ 1.60GHz,2177
Intel Core m3-6Y30 @ 0.90GHz,2168
Intel Core i5-3437U @ 1.90GHz,2165
Intel Pentium N4200 @ 1.10GHz,2158
AMD A8-7200P,2158
AMD PRO A10-8700B,2157
Intel Core i3-5010U @ 2.10GHz,2156
AMD A10-7400P,2134
Intel Core i5-4250U @ 1.30GHz,2130
Intel Pentium 4405U @ 2.10GHz,2125
Intel Core i7-3517U @ 1.90GHz,2111
Intel Core i7-640M @ 2.80GHz,2106
Intel Core i5-3337U @ 1.80GHz,2091
Intel Core i5-2450M @ 2.50GHz,2079
Intel Core i7-610E @ 2.53GHz,2071
AMD A10-5750M APU,2044
Intel Atom x7-E3950 @ 1.60GHz,2043
Intel Core i7-840QM @ 1.87GHz,2038
Intel Celeron G3900E @ 2.40GHz,2034
Intel Core i7-920XM @ 2.00GHz,2032
Intel Core i5-2435M @ 2.40GHz,2031
Intel Celeron 6305 @ 1.80GHz,2029
Intel Core i3-5015U @ 2.10GHz,2019
Intel Core i5-2430M @ 2.40GHz,2018
Intel Core i3-5005U @ 2.00GHz,2010
Intel Core i5-3317U @ 1.70GHz,2008
Intel Core M-5Y51 @ 1.10GHz,2002
Intel Core i5-580M @ 2.67GHz,1997
AMD A10-5757M APU,1994
Intel Celeron N3450 @ 1.10GHz,1980
Intel Core i7-620M @ 2.67GHz,1980
Intel Core i7-3689Y @ 1.50GHz,1967
Intel Core M-5Y71 @ 1.20GHz,1961
Intel Core i5-2410M @ 2.30GHz,1956
Intel Core i3-4025U @ 1.90GHz,1954
Intel Atom E3900 @ 1.60GHz,1953
AMD A10-4600M APU,1952
AMD FX-7500 APU,1940
Intel Core i3-4100U @ 1.80GHz,1926
Intel Core i5-4422E @ 1.80GHz,1907
Intel Core M-5Y10a @ 0.80GHz,1905
Intel Core M-5Y10c @ 0.80GHz,1905
Intel Core i7-2637M @ 1.70GHz,1903
Intel Core i7-2677M @ 1.80GHz,1901
Intel Core i3-3130M @ 2.60GHz,1898
Intel Core i5-560M @ 2.67GHz,1895
Intel Core M-5Y70 @ 1.10GHz,1890
Intel Core M-5Y31 @ 0.90GHz,1889
Intel Core i5-2510E @ 2.50GHz,1884
Intel Core i3-4158U @ 2.00GHz,1874
Intel Core i3-4030U @ 1.90GHz,1869
AMD A10 PRO-7350B APU,1862
Intel Core i3-4110U @ 1.90GHz,1860
Intel Core i5-4230U @ 1.90GHz,1853
Intel Celeron G3900TE @ 2.30GHz,1850
Intel Core i7-740QM @ 1.73GHz,1846
Intel Core i3-2310E @ 2.10GHz,1845
Intel Core i7-820QM @ 1.73GHz,1840
Intel Atom x5-E3940 @ 1.60GHz,1837
Intel Core i7-2617M @ 1.50GHz,1837
AMD A8-5557M APU,1831
AMD GX-424CC SOC,1823
AMD A8-5550M APU,1820
AMD A8-7410 APU,1812
Intel Core2 Quad Q9100 @ 2.26GHz,1806
Intel Core i3-4000M @ 2.40GHz,1803
AMD Phenom II X940 Quad-Core,1797
AMD GX-420MC SOC,1796
Intel Core i5-540M @ 2.53GHz,1792
AMD GX-420CA SOC,1785
AMD A10-5745M APU,1775
AMD R-464L APU,1773
AMD A8-6410 APU,1771
AMD Phenom II N830 3+1,1768
AMD A10-4657M APU,1759
Intel Celeron 3965U @ 2.20GHz,1753
AMD PRO A4-3350B APU,1752
AMD A10-7300 APU,1750
AMD A6-7310 APU,1748
Intel Core i5-520M @ 2.40GHz,1731
AMD Phenom II N970 Quad-Core,1728
Intel Celeron 4305UE @ 2.00GHz,1725
AMD A4 PRO-3340B,1719
Intel Core i5-4220Y @ 1.60GHz,1719
Intel Core i3-3120M @ 2.50GHz,1714
Intel Pentium 4425Y @ 1.70GHz,1702
AMD A8-4500M APU,1697
AMD A8-3550MX APU,1687
Intel Core i7-720QM @ 1.60GHz,1678
AMD A4-7210 APU,1673
AMD A6-6310 APU,1671
AMD Phenom II X920 Quad-Core,1669
AMD A6-5200 APU,1662
Intel Core i3-4010U @ 1.70GHz,1662
AMD A8-7100 APU,1654
Intel Core i3-4030Y @ 1.60GHz,1654
Intel Core i3-3110M @ 2.40GHz,1654
AMD A10-4655M APU,1652
Intel Core i3-4005U @ 1.70GHz,1652
Intel Core M-5Y10 @ 0.80GHz,1648
Intel Core i5-2557M @ 1.70GHz,1641
AMD A8-3510MX APU,1631
AMD A8-5545M APU,1628
AMD Embedded R-Series RX-216GD,1628
AMD A4-6250J APU,1619
AMD Phenom II N950 Quad-Core,1616
AMD A8-3530MX APU,1616
AMD Embedded G-Series GX-420GI Radeon R7E,1607
Intel Celeron 2000E @ 2.20GHz,1607
Intel Core2 Quad Q9000 @ 2.00GHz,1597
AMD PRO A6-8500B,1592
AMD Phenom II N930 Quad-Core,1580
Intel Pentium 4415Y @ 1.60GHz,1580
Intel Core i5-520 @ 2.40GHz,1556
AMD A8 PRO-7150B APU,1551
AMD A9-9410,1542
Intel Celeron N4020C @ 1.10GHz,1541
AMD R-460L APU,1538
Intel Celeron N4020 @ 1.10GHz,1536
Intel Core i7-640LM @ 2.13GHz,1534
AMD A9-9420,1533
Intel Core i7-2610UE @ 1.50GHz,1527
AMD A9-9425,1524
Intel Core i3-4120U @ 2.00GHz,1504
Intel Celeron 2970M @ 2.20GHz,1501
AMD A4-6210 APU,1497
AMD E2-7110 APU,1494
Intel Core m5-7Y54 @ 1.20GHz,1475
Intel Core i7-620LM @ 2.00GHz,1457
Intel Celeron N4000C @ 1.10GHz,1456
Intel Celeron 3955U @ 2.00GHz,1456
AMD A6-8500P,1445
Intel Pentium 4410Y @ 1.50GHz,1441
Intel Pentium 2030M @ 2.50GHz,1436
Intel Pentium 3560M @ 2.40GHz,1436
Intel Celeron N4000 @ 1.10GHz,1432
Intel Pentium 4405Y @ 1.50GHz,1429
Intel Celeron 5205U @ 1.90GHz,1427
AMD A10 Micro-6700T APU,1426
AMD A8-3520M APU,1426
Intel Atom C2558 @ 2.40GHz,1424
AMD Phenom II P960 Quad-Core,1424
Intel Pentium 2020M @ 2.40GHz,1413
AMD GX-415GA SOC,1407
Intel Celeron 1020E @ 2.20GHz,1406
Intel Pentium 3825U @ 1.90GHz,1402
Intel Core i5-2467M @ 1.60GHz,1395
Intel Celeron 3867U @ 1.80GHz,1392
AMD A6-3430MX APU,1389
AMD A8-3500M APU,1387
Intel Pentium N3710 @ 1.60GHz,1382
Intel Core i3-2370M @ 2.40GHz,1375
AMD PRO A6-9500B,1363
Intel Core i3-3217UE @ 1.60GHz,1362
Intel Core i3-2332M @ 2.20GHz,1353
Intel Celeron 3865U @ 1.80GHz,1351
AMD A8-4555M APU,1344
Intel Celeron 4205U @ 1.80GHz,1341
Intel Pentium 3550M @ 2.30GHz,1339
Intel Core i5-480M @ 2.67GHz,1333
AMD A6-9225,1332
AMD A4-5050 APU,1328
AMD Phenom II N870 Triple-Core,1324
Intel Atom x7-Z8700 @ 1.60GHz,1322
Intel Core i5-460M @ 2.53GHz,1322
AMD A6-9220,1322
AMD Phenom II P940 Quad-Core,1319
AMD Phenom II N850 Triple-Core,1318
AMD A6-3420M APU,1317
AMD A9-9400,1313
Intel Celeron 5305U @ 2.30GHz,1307
Intel Core i3-3227U @ 1.90GHz,1303
AMD A4-5100 APU,1301
AMD PRO A6-7350B,1299
Intel Atom x7-Z8750 @ 1.60GHz,1294
Intel Core i3-2348M @ 2.30GHz,1289
Intel Core i3-390M @ 2.67GHz,1289
Intel Core i7-680UM @ 1.47GHz,1281
AMD A4-5000 APU,1279
Intel Core i7-660UM @ 1.33GHz,1279
Intel Core i3-4012Y @ 1.50GHz,1276
Intel Celeron 1020M @ 2.10GHz,1275
AMD A6-3410MX APU,1274
Intel Core i3-2350M @ 2.30GHz,1273
AMD Embedded G-Series GX-224IJ Radeon R4E,1271
Intel Celeron 3765U @ 1.90GHz,1270
Intel Core i5-450M @ 2.40GHz,1268
AMD Phenom II X620 Dual-Core,1262
Intel Core i3-330E @ 2.13GHz,1260
Intel Core i3-2330M @ 2.20GHz,1253
Intel Pentium N3700 @ 1.60GHz,1252
AMD Phenom II P860 Triple-Core,1250
AMD Phenom II N830 Triple-Core,1248
Intel Celeron 2950M @ 2.00GHz,1248
AMD PRO A6-8530B,1246
AMD E2-6110 APU,1241
AMD A6-3400M APU,1235
Intel Core i5-2537M @ 1.40GHz,1234
Intel Core i3-3217U @ 1.80GHz,1227
Intel Core i3-2310M @ 2.10GHz,1221
AMD A6-5357M APU,1219
Intel Celeron 3855U @ 1.60GHz,1218
Intel Core i3-2328M @ 2.20GHz,1218
AMD A4-9120,1215
AMD R-272F APU,1215
Intel Core2 Duo T9900 @ 3.06GHz,1214
Intel Core i5-430M @ 2.27GHz,1212
Intel Core i3-380M @ 2.53GHz,1207
AMD A6-5350M APU,1207
Intel Celeron J3355 @ 2.00GHz,1205
Intel Pentium N3540 @ 2.16GHz,1204
Intel Atom x5-Z8500 @ 1.44GHz,1203
Intel Core2 Extreme X9100 @ 3.06GHz,1203
Intel Pentium 3805U @ 1.90GHz,1197
Intel Atom Z3795 @ 1.60GHz,1196
AMD A4-9125,1196
Intel Core i3-2312M @ 2.10GHz,1189
Intel Core2 Duo T9800 @ 2.93GHz,1189
Intel Celeron N3160 @ 1.60GHz,1188
AMD A6-9210,1188
Intel Celeron 3755U @ 1.70GHz,1182
Intel Celeron N3150 @ 1.60GHz,1181
AMD Phenom II N640 Dual-Core,1181
Intel Pentium A1018 @ 2.10GHz,1171
Intel Core i3-370M @ 2.40GHz,1170
Intel Pentium A1020 @ 2.41GHz,1167
Intel Core2 Duo P9700 @ 2.80GHz,1165
AMD A6-9200,1161
AMD QC-4000,1155
Intel Pentium N3530 @ 2.16GHz,1151
AMD A6 Micro-6500T APU,1146
Intel Pentium N3520 @ 2.16GHz,1144
Intel Atom x5-Z8550 @ 1.44GHz,1143
Intel Core2 Extreme X7800 @ 2.60GHz,1138
AMD E2-3800 APU,1136
AMD Phenom II P820 Triple-Core,1125
Intel Core2 Extreme X7900 @ 2.80GHz,1123
AMD A6-5345M APU,1122
Intel Celeron 1005M @ 1.90GHz,1117
Intel Celeron N3350 @ 1.10GHz,1115
Intel Core2 Extreme X9000 @ 2.80GHz,1108
Intel Core2 Duo E8435 @ 3.06GHz,1104
Intel Core2 Duo P9600 @ 2.66GHz,1103
Intel Pentium B970 @ 2.30GHz,1100
AMD A9-9420e,1098
Intel Celeron 3215U @ 1.70GHz,1097
AMD GX-412HC,1095
AMD Embedded G-Series GX-215JJ Radeon R2E,1094
Intel Core2 Duo T9600 @ 2.80GHz,1094
Intel Core i3-350M @ 2.27GHz,1092
Intel Celeron 2980U @ 1.60GHz,1092
Intel Pentium B980 @ 2.40GHz,1092
Intel Core i7-620UM @ 1.07GHz,1091
Intel Celeron 2002E @ 1.50GHz,1091
AMD E2-9010,1090
Intel Celeron 3965Y @ 1.50GHz,1085
AMD Phenom II N660 Dual-Core,1083
AMD A4 Micro-6400T APU,1082
Intel Core2 Duo E8335 @ 2.66GHz,1082
AMD Phenom II P840 Triple-Core,1079
Intel Core2 Duo E8335 @ 2.93GHz,1079
Intel Core i7-640UM @ 1.20GHz,1073
AMD PRO A4-4350B,1073
Intel Pentium 3556U @ 1.70GHz,1063
AMD A6-1450 APU,1062
Intel Celeron 1000M @ 1.80GHz,1061
Intel Celeron N2940 @ 1.83GHz,1054
Intel Pentium 3558U @ 1.70GHz,1053
AMD A6-9220C,1053
AMD GX-222GC SOC,1044
Intel Pentium 2127U @ 1.90GHz,1044
Intel Celeron 1037U @ 1.80GHz,1043
Intel Core2 Duo P9600 @ 2.53GHz,1040
AMD A8-7050,1039
Intel Celeron 2981U @ 1.60GHz,1036
AMD Turion II Ultra Dual-Core Mobile M640,1034
Intel Core i3-330M @ 2.13GHz,1031
Intel Core2 Duo T9500 @ 2.60GHz,1031
Intel Celeron N2930 @ 1.83GHz,1029
Intel Pentium B960 @ 2.20GHz,1026
Intel Pentium B950 @ 2.10GHz,1024
Intel Core2 Duo E8235 @ 2.80GHz,1020
AMD Phenom II P650 Dual-Core,1018
Intel Pentium 2117U @ 1.80GHz,1017
Intel Core i5-560UM @ 1.33GHz,1015
AMD Turion II Ultra Dual-Core Mobile M660,1011
Intel Core2 Duo T9400 @ 2.53GHz,1008
Intel Core2 Duo P9500 @ 2.53GHz,1007
AMD Phenom II P920 Quad-Core,1006
Intel Atom x5-E8000 @ 1.04GHz,1005
Intel Core i5-540UM @ 1.20GHz,1002
AMD A6-7000,1002
AMD Phenom II N620 Dual-Core,992
AMD A6-4400M APU,992
Intel Core2 Duo T9550 @ 2.66GHz,989
Intel Core2 Duo P9300 @ 2.26GHz,983
Intel Core2 Duo T9300 @ 2.50GHz,983
Intel Core i3-2340UE @ 1.30GHz,976
Intel Celeron B840 @ 1.90GHz,975
AMD A4-4300M APU,973
AMD E2-9000,971
AMD A6 PRO-7050B APU,971
Intel Core2 Duo P8700 @ 2.53GHz,970
AMD A6-9220e,969
AMD A4-5150M APU,969
Intel Atom C2538 @ 2.40GHz,968
Intel Celeron 3205U @ 1.50GHz,961
AMD Turion II Ultra Dual-Core Mobile M600,955
AMD R-260H APU,954
Intel Pentium P6300 @ 2.27GHz,950
Intel Core2 Duo E8135 @ 2.66GHz,946
Intel Pentium N3510 @ 1.99GHz,942
Intel Celeron N2920 @ 1.86GHz,941
Intel Core2 Duo T7700 @ 2.40GHz,941
Intel Pentium P6200 @ 2.13GHz,939
Intel Core i5-520UM @ 1.07GHz,932
Intel Core2 Duo P8800 @ 2.66GHz,929
AMD Turion II P540 Dual-Core,922
AMD Turion II P560 Dual-Core,913
AMD Turion II Dual-Core Mobile M540,912
AMD A4-1350 APU,911
Intel Core2 Duo T7800 @ 2.60GHz,909
Intel Core2 Duo T8300 @ 2.40GHz,906
Intel Celeron 2955U @ 1.40GHz,905
AMD Athlon II N370 Dual-Core,899
Intel Atom x5-Z8350 @ 1.44GHz,895
Intel Celeron 1017U @ 1.60GHz,893
Intel Celeron P4600 @ 2.00GHz,893
Intel Core i3-2375M @ 1.50GHz,892
Intel Pentium B940 @ 2.00GHz,889
Intel Core2 Duo P7570 @ 2.26GHz,888
Intel Pentium 3560Y @ 1.20GHz,887
Intel Core2 Duo SP9400 @ 2.40GHz,887
AMD E2-9000e,883
Intel Pentium P6100 @ 2.00GHz,881
Intel Atom x5-E3930 @ 1.30GHz,879
Intel Celeron P4500 @ 1.87GHz,878
AMD Turion II N550 Dual-Core,877
Intel Core i3-2377M @ 1.50GHz,876
AMD A4-9120C,875
Intel Core2 Duo P8400 @ 2.26GHz,871
AMD Turion II P520 Dual-Core,870
Intel Celeron B830 @ 1.80GHz,869
AMD Turion II Neo N54L Dual-Core,869
AMD Turion 64 X2 Mobile TL-68,866
Intel Core2 Duo P8600 @ 2.40GHz,861
AMD A4-9120e,858
AMD Athlon II N350 Dual-Core,856
AMD Turion II Dual-Core Mobile M520,855
AMD Turion II N530 Dual-Core,855
Intel Pentium T4500 @ 2.30GHz,850
Intel Celeron 2957U @ 1.40GHz,847
Intel Atom x5-Z8300 @ 1.44GHz,843
AMD TurionX2 Ultra DualCore Mobile ZM-85,841
Intel Core i3-2367M @ 1.40GHz,840
Intel Pentium P6000 @ 1.87GHz,840
Intel Celeron 1007U @ 1.50GHz,839
Intel Core2 Duo T6670 @ 2.20GHz,837
Intel Core2 Duo T7500 @ 2.20GHz,829
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,828
Intel Core2 Duo P7370 @ 2.00GHz,817
AMD Turion II Ultra Dual-Core Mobile M620,814
AMD A6-4455M APU,810
Intel Core i3-2365M @ 1.40GHz,809
Intel Core2 Duo P7450 @ 2.13GHz,809
Intel Core2 Duo T7600 @ 2.33GHz,809
Intel Celeron B820 @ 1.70GHz,807
Intel Core2 Duo T6600 @ 2.20GHz,807
AMD Athlon II Dual-Core M340,807
Intel Atom Z3580 @ 1.33GHz,802
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,802
AMD A4-4355M APU,801
Intel Atom x5-Z8330 @ 1.44GHz,800
AMD Turion X2 Dual-Core Mobile RM-76,799
Intel Core2 Duo P7550 @ 2.26GHz,798
Intel Atom Z3775D @ 1.49GHz,794
AMD GX-217GA SOC,793
Intel Core2 Duo T8100 @ 2.10GHz,793
Intel Pentium T4400 @ 2.20GHz,790
AMD A4-3310MX APU,789
Intel Core i3-2357M @ 1.30GHz,788
Intel Core i5-470UM @ 1.33GHz,788
Intel Core2 Duo L9600 @ 2.13GHz,788
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,783
Intel Pentium T4300 @ 2.10GHz,781
Intel Celeron N2910 @ 1.60GHz,774
Intel Core2 Duo T6570 @ 2.10GHz,774
VIA QuadCore L4700 @ 1.2+ GHz,773
Celeron Dual-Core T3500 @ 2.10GHz,773
Intel Atom Z3735G @ 1.33GHz,772
Intel Celeron B810 @ 1.60GHz,771
AMD Athlon II Dual-Core M320,770
AMD A4-3305M APU,767
Intel Celeron 887 @ 1.50GHz,764
Intel Core2 Duo T6500 @ 2.10GHz,764
AMD A4-3330MX APU,761
AMD Athlon II P360 Dual-Core,760
Intel Celeron B815 @ 1.60GHz,757
Intel Core2 Duo T7400 @ 2.16GHz,755
AMD GX-218GL SOC,754
AMD Turion II Dual-Core Mobile M500,751
Intel Core2 Duo T7200 @ 2.00GHz,746
Intel Core2 Duo T6400 @ 2.00GHz,746
Intel Pentium Dual T2390 @ 1.86GHz,745
AMD E2-3000 APU,743
AMD Athlon II P340 Dual-Core,740
Intel Core i3-380UM @ 1.33GHz,733
AMD Turion X2 Dual-Core Mobile RM-75,733
Intel Core2 Duo P7350 @ 2.00GHz,732
Intel Pentium T4200 @ 2.00GHz,730
Intel Atom Z3770 @ 1.46GHz,728
AMD A4-3300M APU,726
AMD Athlon II P320 Dual-Core,723
Intel Core2 Duo T5850 @ 2.16GHz,721
Intel Core2 Duo SL9400 @ 1.86GHz,721
AMD Turion 64 X2 Mobile TL-64,716
AMD Turion 64 X2 Mobile TL-66,716
Intel Core2 Duo T5750 @ 2.00GHz,712
Intel Core2 Duo T5870 @ 2.00GHz,706
Intel Core2 Duo T7300 @ 2.00GHz,705
Intel Atom Z3735D @ 1.33GHz,704
Intel Atom Z3775 @ 1.46GHz,702
Intel Core2 Duo T7250 @ 2.00GHz,701
Intel Pentium 987 @ 1.50GHz,697
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,695
Intel Celeron B800 @ 1.50GHz,694
AMD Turion X2 Dual Core Mobile RM-76,691
Intel Core2 Duo L9300 @ 1.60GHz,690
Intel Celeron P4505 @ 1.87GHz,689
Intel Celeron 2961Y @ 1.10GHz,684
AMD Turion II Neo K685 Dual-Core,684
Intel Core2 Duo T5600 @ 1.83GHz,677
Intel Core2 Duo L7700 @ 1.80GHz,677
Intel Core2 Duo T5900 @ 2.20GHz,677
Intel Pentium T3200 @ 2.00GHz,676
Intel Celeron 877 @ 1.40GHz,675
AMD Athlon II Dual-Core M300,670
AMD A4-3320M APU,668
AMD Turion 64 X2 Mobile TL-62,668
AMD E2-3000M APU,668
Intel Core2 Duo L7500 @ 1.60GHz,666
AMD Athlon II N330 Dual-Core,665
AMD Athlon 64 X2 QL-65,664
Intel Pentium T3400 @ 2.16GHz,664
AMD Athlon 64 X2 QL-60,661
AMD Turion Dual-Core RM-75,659
AMD Turion X2 Dual-Core Mobile RM-72,656
AMD E2-7015 APU,654
Intel Celeron N3060 @ 1.60GHz,653
Intel Pentium 977 @ 1.40GHz,652
AMD Turion X2 Dual-Core Mobile RM-74,652
Celeron Dual-Core T3000 @ 1.80GHz,650
AMD Turion Dual-Core RM-72,649
Intel Celeron N3000 @ 1.04GHz,646
Intel Core2 Duo T5800 @ 2.00GHz,646
AMD Turion 64 X2 Mobile TL-60,645
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,645
Intel Pentium 967 @ 1.30GHz,643
AMD Athlon 64 X2 QL-66,641
Intel Atom Z3740 @ 1.33GHz,638
AMD GX-212JC SOC,636
AMD Turion II Neo N40L Dual-Core,634
Intel Core2 Duo T5670 @ 1.80GHz,633
Celeron Dual-Core T3300 @ 2.00GHz,633
Intel Core i5-430UM @ 1.20GHz,627
Celeron Dual-Core T3100 @ 1.90GHz,625
Intel Core2 Duo T5550 @ 1.83GHz,625
Intel Pentium U5600 @ 1.33GHz,624
Intel Pentium 957 @ 1.20GHz,622
Intel Atom Z3745 @ 1.33GHz,621
Intel Atom Z3740D @ 1.33GHz,618
AMD Turion II Neo K625 Dual-Core,618
AMD Athlon 64 X2 QL-64,618
Intel Celeron N3010 @ 1.04GHz,616
AMD E1-7010 APU,613
AMD Turion X2 Dual-Core Mobile RM-70,612
AMD E2-7015,611
Intel Core2 Duo T5470 @ 1.60GHz,606
AMD Turion X2 Dual Core L510,603
Intel Core2 Duo T7100 @ 1.80GHz,603
Intel Celeron T1700 @ 1.83GHz,600
AMD E1 Micro-6200T APU,600
Intel Atom Z3745D @ 1.33GHz,599
AMD E1-6015 APU,597
Intel Core2 Duo U9600 @ 1.60GHz,595
AMD E1-2500 APU,594
Intel Celeron N3050 @ 1.60GHz,589
Intel Celeron 867 @ 1.30GHz,588
AMD Turion Dual-Core RM-74,588
Intel Pentium 2129Y @ 1.10GHz,587
Intel Atom C2338 @ 1.74GHz,584
Intel Celeron 847E @ 1.10GHz,584
Intel Core2 Duo T5450 @ 1.66GHz,584
AMD Athlon 64 X2 QL-67,582
Intel Celeron N2840 @ 2.16GHz,582
Intel Core2 Duo T5500 @ 1.66GHz,578
Intel Celeron 857 @ 1.20GHz,569
Intel Celeron T1600 @ 1.66GHz,569
Intel Atom C2358 @ 1.74GHz,562
AMD Turion X2 Dual-Core Mobile RM-77,562
AMD Turion Dual-Core RM-70,561
